根据您提供的软件测试报告，我总结出以下主要问题：

1. **用户界面和交互问题**：
   - 创建群组时，系统未限制最大成员数，导致用户选择超过20人后才能提示错误。
   - 搜索功能不准确，无法准确匹配用户输入的关键词。
   - 搜索框和加入群聊的入口设计不直观，需要点击放大镜图标才能开始搜索。
   - 添加好友时，不能一次性选择多个联系人，只能逐个添加。
   - 创建群组时，没有实时显示已输入的字数，超过64个字符没有提示。
   - 搜索群组时，结果没有按匹配度排序，显示与关键词无关的群组。
   - 添加群成员时，没有提示最多只能添加20人。
   - 群组名称没有提示字数限制。

2. **功能缺陷**：
   - 创建相同名称的群组没有提示，导致重复创建。
   - 同一用户对同一群组的多个申请，没有按最新一条为准。
   - 被邀请进群不需要同意直接加入。
   - 非好友用户可以直接被拉进群聊。
   - 发送语音消息无声或音量小。
   - 复制粘贴表情不显示，显示为代码。
   - 搜索结果包含非好友用户。
   - 消息免打扰设置没有提示。
   - 不能修改好友备注。
   - 不能设置聊天背景。
   - 不能收藏聊天图片。
   - 不能查看聊天记录时间。
   - 不能查看群公告。
   - 不能删除群成员。
   - 不能设置管理员。
   - 不能修改群名称和头像。
   - 不能禁言群成员。
   - 不能设置群消息提醒。
   - 不能清空聊天记录。

3. **性能问题**：
   - 搜索响应慢。
   - 界面卡顿。
   - 头像加载慢。
   - 发送大表情后会被禁言。

4. **安全性问题**：
   - 非好友用户可直接被拉进群聊。
   - 不能屏蔽敏感词。
   - 不能设置黑名单。

5. **易用性问题**：
   - 没有热门群推荐。
   - 没有好友备注功能。
   - 没有聊天背景设置。
   - 没有收藏图片功能。
   - 没有消息记录时间。
   - 没有群公告功能。
   - 没有删除成员功能。
   - 没有设置管理员功能。
   - 没有禁言功能。
   - 没有消息提醒设置。
   - 没有清空聊天记录功能。

6. **其他问题**：
   - 安装过程漫长。
   - 部分功能未实现。
   - 缺乏支付方式。
   - 邮箱注册不支持字符。
   - 语音消息无声或音量小。
   - 复制表情显示异常。
   - 搜索结果不相关。

总体来看，该软件在界面设计、功能实现、性能优化、安全性、易用性等方面存在较多问题，需要进一步优化和改进。
